,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODIGOS INVOLUCRADOS EN PEDIDOS JUNIO NOVIEMBRE,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Código II, Q. según pedidos, Promedio VTA, m3 x unidad, m3 x Inner, m3 x Master, Unidades x Inner, Unidades x Master, Peso [kgrs], Alto [mm], Ancho [mm], Largo [mm],
,3101,  772 ,  396 ,  0.0038 ,  -   ,  0.0901 ,  -   ,  24 ,  0.31 ,  200.00 ,  215.00 ,  70.00 ,
,3102,  354 ,  120 ,  0.0099 ,  -   ,  0.0593 ,  -   ,  6 ,  0.70 ,  180.00 ,  525.00 ,  85.00 ,
,3103,  591 ,  480 ,  0.0003 ,  0.0077 ,  0.0770 ,  24 ,  240 ,  0.47 ,  120.00 ,  90.00 ,  40.00 ,
,3105,  1 ,  500 ,  0.0005 ,  -   ,  0.1052 ,  -   ,  200 ,#N/A,#N/A,#N/A,#N/A,
,3106,  18 ,  200 ,  0.0002 ,  -   ,  0.0200 ,  -   ,  100 ,  0.01 ,  16.00 ,  100.00 ,  150.00 ,
,3107,  3 ,  72 ,  0.0019 ,  -   ,  0.0456 ,  -   ,  24 ,#N/A,#N/A,#N/A,#N/A,
,3108,  484 ,  300 ,  0.0005 ,  0.0030 ,  0.0300 ,  6 ,  60 ,#N/A,#N/A,#N/A,#N/A,
,3109,  437 ,  300 ,  0.0006 ,  0.0036 ,  0.0360 ,  6 ,  60 ,  235.00 ,  20.00 ,  107.00 ,  251.00 ,
,3110,  3 ,  300 ,  0.0018 ,  0.0090 ,  0.0360 ,  5 ,  20 ,  7.16 ,  44.00 ,  80.00 ,  345.00 ,
,3111,  11 ,  10 ,  0.0003 ,  -   ,  0.0003 ,  -   ,  1 ,#N/A,#N/A,#N/A,#N/A,
,3112,  1 ,  10 ,  0.0002 ,  -   ,  0.0002 ,  -   ,  1 ,#N/A,#N/A,#N/A,#N/A,
,3113,  1 ,#N/A,  0.0012 ,#N/A,  0.0012 ,#N/A,  1 ,  0.80 ,  105.00 ,  105.00 ,  110.00 ,
,3114,  1 ,#N/A,#N/A,#N/A,#N/A,#N/A,  1 ,#N/A,#N/A,#N/A,#N/A,
,3115,  1 ,#N/A,  0.0003 ,#N/A,  0.0003 ,#N/A,  1 ,  0.41 ,  47.00 ,  45.00 ,  130.00 ,
,3116,  4 ,#N/A,  0.0006 ,#N/A,  0.0006 ,#N/A,  1 ,  0.38 ,  70.00 ,  60.00 ,  140.00 ,
,3117,  1 ,#N/A,  0.0000 ,#N/A,  0.0000 ,#N/A,  1 ,  0.02 ,  15.00 ,  35.00 ,  70.00 ,
,3118,  14 ,#N/A,  0.0003 ,#N/A,  0.0003 ,#N/A,  1 ,  0.21 ,  45.00 ,  45.00 ,  130.00 ,
,3119,  231 ,  60 ,  0.0103 ,  -   ,  0.0103 ,  -   ,  1 ,#N/A,#N/A,#N/A,#N/A,
,5370,  24 ,  -   ,  0.0006 , #VALUE!,  0.0006 , -,  1 ,  0.48 ,  45.00 ,  45.00 ,  315.00 ,
,3120,  49 ,  202 ,  0.0005 ,  0.0030 ,  0.0240 ,  6 ,  48 ,  0.29 ,  28.00 ,  90.00 ,  235.00 ,
,3121,  2 ,  5 ,  0.0002 ,  -   ,  0.0050 ,  -   ,  25 ,  0.31 ,  21.00 ,  53.00 ,  170.00 ,
,3122,  1 ,  15 ,  0.0003 ,  -   ,  0.0075 ,  -   ,  25 ,  -   ,  22.00 ,  56.00 ,  190.00 ,
,3123,  1 ,  10 ,  0.0004 ,  -   ,  0.0100 ,  -   ,  25 ,  0.47 ,  23.00 ,  60.00 ,  200.00 ,
,3124,  1 ,  20 ,  0.0004 ,  -   ,  0.0100 ,  -   ,  25 ,  0.45 ,  23.00 ,  61.00 ,  203.00 ,
,3125,  1 ,  5 ,  0.0004 ,  -   ,  0.0100 ,  -   ,  25 ,  0.50 ,  24.00 ,  61.00 ,  204.00 ,
,3126,  1 ,  20 ,  0.0004 ,  -   ,  0.0100 ,  -   ,  25 ,  -   ,  25.00 ,  65.00 ,  210.00 ,
,3127,  1 ,  10 ,  0.0004 ,  -   ,  0.0100 ,  -   ,  25 ,  0.56 ,  25.00 ,  65.00 ,  210.00 ,
,3128,  1 ,  13 ,  0.0005 ,  -   ,  0.0050 ,  -   ,  10 ,  0.79 ,  26.00 ,  70.00 ,  235.00 ,
,3129,  1 ,  17 ,  0.0005 ,  -   ,  0.0050 ,  -   ,  10 ,  -   ,  26.00 ,  70.00 ,  235.00 ,
,3130,  1 ,  20 ,  0.0005 ,  -   ,  0.0050 ,  -   ,  10 ,  0.77 ,  27.00 ,  71.00 ,  235.00 ,
,3131,  1 ,  30 ,  0.0007 ,  -   ,  0.0070 ,  -   ,  10 ,  0.96 ,  28.00 ,  76.00 ,  245.00 ,
,3132,  1 ,  15 ,  0.0008 ,  -   ,  0.0080 ,  -   ,  10 ,  -   ,  30.00 ,  80.00 ,  260.00 ,
,3133,  1 ,  11 ,  0.0009 ,  -   ,  0.0090 ,  -   ,  10 ,  1.43 ,  31.00 ,  92.00 ,  275.00 ,
,3134,  1 ,  10 ,  0.0011 ,  -   ,  0.0110 ,  -   ,  10 ,  1.76 ,  32.00 ,  110.00 ,  286.00 ,
,3135,  1 ,  7 ,  0.0013 ,  -   ,  0.0130 ,  -   ,  10 ,  2.20 ,  36.00 ,  111.00 ,  308.00 ,
,3136,  1 ,  2 ,  0.0018 ,  -   ,  0.0090 ,  -   ,  5 ,  3.05 ,  39.00 ,  116.00 ,  335.00 ,
,3137,  1 ,  2 ,  0.0018 ,  -   ,  0.0090 ,  -   ,  5 ,  2.97 ,  39.00 ,  117.00 ,  335.00 ,
,3138,  1 ,  1 ,  0.0024 ,  -   ,  0.0120 ,  -   ,  5 ,  3.47 ,  42.00 ,  130.00 ,  363.00 ,
,3139,  1 ,  1 ,  0.0024 ,  -   ,  0.0120 ,  -   ,  5 ,  3.68 ,  42.00 ,  130.00 ,  370.00 ,
,3140,  1 ,  1 ,  0.0033 ,  -   ,  0.0132 ,  -   ,  4 ,  5.94 ,  45.00 ,  150.00 ,  400.00 ,
,3141,  1 ,  1 ,  0.0033 ,  -   ,  0.0132 ,  -   ,  4 ,  5.37 ,  46.00 ,  155.00 ,  400.00 ,
,3142,  1 ,  1 ,  0.0041 ,  -   ,  0.0082 ,  -   ,  2 ,  -   ,  51.00 ,  165.00 ,  420.00 ,
,3143,  1 ,  1 ,  0.0041 ,  -   ,  0.0082 ,  -   ,  2 ,  6.50 ,  51.00 ,  165.00 ,  420.00 ,
,3144,  1 ,  1 ,  0.0060 ,  -   ,  0.0120 ,  -   ,  2 ,  7.91 ,  56.00 ,  185.00 ,  470.00 ,
,3145,  1 ,  1 ,  0.0060 ,  -   ,  0.0120 ,  -   ,  2 ,  7.60 ,  56.00 ,  185.00 ,  470.00 ,
,3146,  1 ,  1 ,  0.0075 ,  -   ,  0.0150 ,  -   ,  2 ,  9.76 ,  60.00 ,  200.00 ,  490.00 ,
,3147,  1 ,  1 ,  0.0077 ,  -   ,  0.0077 ,  -   ,  1 ,  9.51 ,  70.00 ,  220.00 ,  510.00 ,
,3148,  1 ,  1 ,  0.0076 ,  -   ,  0.0076 ,  -   ,  1 ,  13.56 ,  70.00 ,  220.00 ,  520.00 ,
,3149,  1 ,  1 ,  0.0076 ,  -   ,  0.0076 ,  -   ,  1 ,  12.21 ,  70.00 ,  220.00 ,  520.00 ,
,3150,  1 ,  1 ,  0.0108 ,  -   ,  0.0108 ,  -   ,  1 ,  12.40 ,  80.00 ,  225.00 ,  575.00 ,
,3151,  1 ,  1 ,  0.0108 ,  -   ,  0.0108 ,  -   ,  1 ,  19.31 ,  80.00 ,  235.00 ,  580.00 ,
,3152,  1 ,  1 ,  0.0108 ,  -   ,  0.0108 ,  -   ,  1 ,  19.60 ,  82.00 ,  235.00 ,  580.00 ,
,3153,  1 ,  1 ,  0.0116 ,  -   ,  0.0116 ,  -   ,  1 ,  17.99 ,  85.00 ,  240.00 ,  585.00 ,
,3154,  1 ,  1 ,  0.0152 ,  -   ,  0.0152 ,  -   ,  1 ,  17.22 ,  85.00 ,  245.00 ,  895.00 ,
,3155,  1 ,  1 ,  0.0134 ,  -   ,  0.0134 ,  -   ,  1 ,  26.61 ,  90.00 ,  280.00 ,  635.00 ,
,3156,  1 ,  1 ,  0.0134 ,  -   ,  0.0134 ,  -   ,  1 ,  26.65 ,  90.00 ,  280.00 ,  645.00 ,
,3157,  1 ,  1 ,  0.0134 ,  -   ,  0.0134 ,  -   ,  1 ,  -   ,  92.00 ,  280.00 ,  645.00 ,
,3158,  118 ,  43 ,  0.0002 ,  0.0099 ,  0.0197 ,  50 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,5371,  172 ,  -   ,  0.0001 ,  0.0055 ,  0.0110 ,  50 ,  100 ,  0.19 ,  155.00 ,  95.00 ,  7.50 ,
,3159,  46 ,  21 ,  0.0002 ,  0.0099 ,  0.0197 ,  50 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,5372,  82 ,  -   ,  0.0001 ,  0.0037 ,  0.0075 ,  50 ,  100 ,  0.22 ,  110.00 ,  70.00 ,  10.00 ,
,3160,  112 ,  39 ,  0.0002 ,  0.0099 ,  0.0197 ,  50 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,5373,  162 ,  -   ,  0.0001 ,  0.0058 ,  0.0115 ,  50 ,  100 ,  0.24 ,  160.00 ,  90.00 ,  8.00 ,
,3161,  23 ,  19 ,  0.0002 ,  0.0099 ,  0.0197 ,  50 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,5374,  68 ,  -   ,  0.0001 ,  0.0039 ,  0.0077 ,  50 ,  100 ,  0.25 ,  110.00 ,  75.00 ,  10.00 ,
,3162,  33 ,  20 ,  0.0002 ,  0.0099 ,  0.0197 ,  50 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,5375,  71 ,  -   ,  0.0001 ,  0.0041 ,  0.0083 ,  50 ,  100 ,  0.27 ,  110.00 ,  75.00 ,  10.00 ,
,3163,  42 ,  19 ,  0.0002 ,  0.0099 ,  0.0197 ,  50 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,5376,  58 ,  -   ,  0.0001 ,  0.0043 ,  0.0086 ,  50 ,  100 ,  0.29 ,  115.00 ,  75.00 ,  10.00 ,
,3164,  499 ,  143 ,  0.0003 ,  0.0071 ,  0.0141 ,  25 ,  50 ,#N/A,#N/A,#N/A,#N/A,
,5377,  631 ,  -   ,  0.0001 ,  0.0030 ,  0.0060 ,  25 ,  50 ,  0.17 ,  190.00 ,  70.00 ,  9.00 ,
,3165,  73 ,  26 ,  0.0003 ,  0.0071 ,  0.0141 ,  25 ,  50 ,#N/A,#N/A,#N/A,#N/A,
,5378,  97 ,  -   ,  0.0001 ,  0.0014 ,  0.0027 ,  25 ,  50 ,  0.17 ,  190.00 ,  70.00 ,  9.00 ,
,3166,  73 ,  30 ,  0.0003 ,  0.0071 ,  0.0141 ,  25 ,  50 ,#N/A,#N/A,#N/A,#N/A,
,5379,  121 ,  -   ,  0.0001 ,  0.0013 ,  0.0025 ,  25 ,  50 ,  0.19 ,  120.00 ,  42.00 ,  10.00 ,
,3167,  27 ,  20 ,  0.0003 ,  0.0071 ,  0.0141 ,  25 ,  50 ,#N/A,#N/A,#N/A,#N/A,
,5380,  75 ,  -   ,  0.0001 ,  0.0014 ,  0.0028 ,  25 ,  50 ,  0.21 ,  125.00 ,  45.00 ,  10.00 ,
,3168,  72 ,  39 ,  0.0003 ,  0.0071 ,  0.0141 ,  25 ,  50 ,#N/A,#N/A,#N/A,#N/A,
,5381,  167 ,  -   ,  0.0006 ,  0.0141 ,  0.0281 ,  25 ,  50 ,  0.23 ,  125.00 ,  45.00 ,  10.00 ,
,3169,  15 ,  18 ,  0.0003 ,  0.0071 ,  0.0141 ,  25 ,  50 ,#N/A,#N/A,#N/A,#N/A,
,5382,  54 ,  -   ,  0.0001 ,  0.0025 ,  0.0049 ,  25 ,  50 ,  0.23 ,  140.00 ,  70.00 ,  10.00 ,
,3170,  29 ,  18 ,  0.0003 ,  0.0071 ,  0.0141 ,  25 ,  50 ,#N/A,#N/A,#N/A,#N/A,
,5383,  68 ,  -   ,  0.0001 ,  0.0021 ,  0.0041 ,  25 ,  50 ,  0.25 ,  140.00 ,  59.00 ,  10.00 ,
,3171,  19 ,  18 ,  0.0003 ,  0.0071 ,  0.0141 ,  25 ,  50 ,#N/A,#N/A,#N/A,#N/A,
,5384,  62 ,  -   ,  0.0001 ,  0.0018 ,  0.0035 ,  25 ,  50 ,  0.27 ,  140.00 ,  50.00 ,  10.00 ,
,3172,  128 ,  20 ,  0.0002 ,  -   ,  0.0840 ,  -   ,  400 ,  0.04 ,  65.00 ,  65.00 ,  24.11 ,
,3173,  2 ,  300 ,  0.0006 ,  -   ,  0.0600 ,  -   ,  100 ,#N/A,#N/A,#N/A,#N/A,
,3174,  2 ,  300 ,  0.0006 ,  -   ,  0.0600 ,  -   ,  100 ,#N/A,#N/A,#N/A,#N/A,
,3175,  2 ,  300 ,  0.0006 ,  -   ,  0.0600 ,  -   ,  100 ,#N/A,#N/A,#N/A,#N/A,
,3176,"  4,121 ",  716 ,  0.0001 ,  0.0030 ,  0.0121 ,  30 ,  120 ,  0.15 ,  9.71 ,  75.11 ,  91.30 ,
,3177,  51 ,  6 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.06 ,  15.00 ,  45.00 ,  115.00 ,
,3178,  84 ,  9 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3179,  157 ,  20 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3180,  401 ,  30 ,  0.0000 ,  0.0002 ,  0.0018 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3181,  179 ,  20 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.08 ,  15.00 ,  45.00 ,  115.00 ,
,3182,  107 ,  17 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.09 ,  15.00 ,  45.00 ,  115.00 ,
,3184,"  5,956 ",  583 ,  0.0001 ,  0.0038 ,  0.0152 ,  50 ,  200 ,  0.03 ,  7.53 ,  64.86 ,  100.00 ,
,3185,"  4,748 ",  380 ,  0.0001 ,  0.0066 ,  0.0262 ,  50 ,  200 ,  0.09 ,  7.50 ,  95.00 ,  120.00 ,
,3186,  559 ,  43 ,  0.0019 ,  -   ,  0.0077 ,  -   ,  4 ,  2.10 ,  80.00 ,  135.00 ,  120.00 ,
,3187,"  10,388 ",  860 ,  0.0001 ,  0.0044 ,  0.0174 ,  50 ,  200 ,  -   ,  -   ,  -   ,  -   ,
,3188,"  4,582 ",  485 ,  0.0001 ,  0.0057 ,  0.0226 ,  50 ,  200 ,  0.10 ,  7.50 ,  65.00 ,  170.00 ,
,3189,  534 ,  93 ,  0.0001 ,  0.0044 ,  0.0174 ,  50 ,  200 ,  0.05 ,  8.10 ,  70.00 ,  120.00 ,
,3190,"  1,559 ",  159 ,  0.0001 ,  0.0044 ,  0.0174 ,  50 ,  200 ,  0.05 ,  7.48 ,  70.00 ,  120.00 ,
,3191,  2 ,  300 ,  0.0009 ,  -   ,  0.0900 ,  -   ,  100 ,#N/A,#N/A,#N/A,#N/A,
,3192,  2 ,  300 ,  0.0009 ,  -   ,  0.0900 ,  -   ,  100 ,#N/A,#N/A,#N/A,#N/A,
,3193,  2 ,  300 ,  0.0009 ,  -   ,  0.0900 ,  -   ,  100 ,#N/A,#N/A,#N/A,#N/A,
,3206,  13 ,  200 ,  0.0002 ,  -   ,  0.0200 ,  -   ,  100 ,  0.01 ,  15.00 ,  100.00 ,  150.00 ,
,3207,  19 ,  472 ,  0.0007 ,  -   ,  0.0560 ,  -   ,  80 ,#N/A,#N/A,#N/A,#N/A,
,3208,  18 ,  472 ,  0.0007 ,  -   ,  0.0560 ,  -   ,  80 ,#N/A,#N/A,#N/A,#N/A,
,3209,  18 ,  472 ,  0.0007 ,  -   ,  0.0560 ,  -   ,  80 ,#N/A,#N/A,#N/A,#N/A,
,3210,  3 ,  60 ,  0.0077 ,  -   ,  0.0462 ,  -   ,  6 ,#N/A,#N/A,#N/A,#N/A,
,3211,  3 ,  40 ,  0.0294 ,  -   ,  0.0588 ,  -   ,  2 ,#N/A,#N/A,#N/A,#N/A,
,3212,  3 ,  30 ,  0.0294 ,  -   ,  0.0588 ,  -   ,  2 ,#N/A,#N/A,#N/A,#N/A,
,3213,  72 ,  14 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.06 ,  15.00 ,  45.00 ,  115.00 ,
,3214,  649 ,  113 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3215,"  1,693 ",  294 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3216,  252 ,  39 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.08 ,  15.00 ,  45.00 ,  115.00 ,
,3217,  55 ,  339 ,  0.0159 ,  -   ,  0.0159 ,  -   ,  1 ,#N/A,#N/A,#N/A,#N/A,
,3218,  33 ,  210 ,  0.0261 ,  -   ,  0.0261 ,  -   ,  1 ,#N/A,#N/A,#N/A,#N/A,
,3219,  1 ,  5 ,  0.0042 ,  -   ,  0.0420 ,  -   ,  10 ,#N/A,#N/A,#N/A,#N/A,
,3220,  1 ,  5 ,  0.0045 ,  -   ,  0.0450 ,  -   ,  10 ,#N/A,#N/A,#N/A,#N/A,
,3221,  24 ,  74 ,  0.0920 ,  -   ,  0.0920 ,  -   ,  1 ,#N/A,#N/A,#N/A,#N/A,
,3222,  4 ,  10 ,  0.0052 ,  -   ,  0.1040 ,  -   ,  20 ,#N/A,#N/A,#N/A,#N/A,
,5385,  2 ,  -   ,  0.0024 , #VALUE!,  0.0472 , -,  20 ,  1.27 ,  35.00 ,  250.00 ,  270.00 ,
,3223,  6 ,  10 ,  0.0029 ,  -   ,  0.0573 ,  -   ,  20 ,#N/A,#N/A,#N/A,#N/A,
,3225,  2 ,  600 ,  0.0027 ,  -   ,  0.1616 ,  -   ,  60 ,#N/A,#N/A,#N/A,#N/A,
,3243,  2 ,  100 ,  0.0016 ,  -   ,  0.0312 ,  -   ,  20 ,#N/A,#N/A,#N/A,#N/A,
,3276,"  1,768 ",  248 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3277,"  3,407 ",  533 ,  0.0001 ,  0.0010 ,  0.0303 ,  10 ,  300 ,  0.07 ,  7.40 ,  50.00 ,  180.00 ,
,3278,  864 ,  139 ,  0.0007 ,  0.0078 ,  0.0157 ,  12 ,  24 ,  0.57 ,  32.60 ,  95.00 ,  130.00 ,
,3279,"  7,593 ","  1,192 ",  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  -   ,  -   ,  -   ,  -   ,
,3283,"  2,830 ",  444 ,  0.0007 ,  0.0078 ,  0.0157 ,  12 ,  24 ,  0.63 ,  32.50 ,  94.00 ,  130.00 ,
,3284,"  1,488 ",  180 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.08 ,  14.50 ,  44.50 ,  113.00 ,
,3285,  300 ,  69 ,  0.0001 ,  0.0031 ,  0.0244 ,  50 ,  400 ,  0.04 ,  7.50 ,  60.00 ,  140.00 ,
,3286,"  4,698 ",  595 ,  0.0001 ,  0.0027 ,  0.0212 ,  50 ,  400 ,#N/A,#N/A,#N/A,#N/A,
,3287,  65 ,  8 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3288,  67 ,  12 ,  0.0000 ,  0.0002 ,  0.0018 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3289,  42 ,  10 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3312,  142 ,  21 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3313,  83 ,  10 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3314,  113 ,  14 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3316,  148 ,  17 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3317,  338 ,  46 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.08 ,  14.50 ,  44.50 ,  113.50 ,
,3318,  107 ,  16 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.08 ,  15.00 ,  45.00 ,  115.00 ,
,3319,  20 ,  6 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.06 ,  15.00 ,  45.00 ,  115.00 ,
,3320,  90 ,  16 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.06 ,  15.00 ,  45.00 ,  115.00 ,
,3360,  128 ,  22 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3361,  44 ,  7 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.08 ,  15.00 ,  45.00 ,  115.00 ,
,3363,  299 ,  6 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3365,  221 ,  34 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.08 ,  15.00 ,  45.00 ,  115.00 ,
,3366,  103 ,  12 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.08 ,  15.00 ,  45.00 ,  115.00 ,
,3367,  114 ,  17 ,  0.0001 ,  0.0024 ,  0.0188 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3371,  1 ,  20 ,  0.0411 ,  -   ,  0.0411 ,  -   ,  1 ,#N/A,#N/A,#N/A,#N/A,
,3376,  139 ,  22 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.07 ,  14.50 ,  45.00 ,  115.00 ,
,3377,  75 ,  14 ,  0.0000 ,  0.0002 ,  0.0018 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3378,  58 ,  8 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3379,  178 ,  35 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3380,  732 ,  126 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3381,  507 ,  86 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3382,  131 ,  24 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  15.00 ,  45.00 ,  115.00 ,
,3383,  125 ,  30 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.08 ,  15.00 ,  45.00 ,  115.00 ,
,3384,  92 ,  7 ,  0.0004 ,  -   ,  0.0230 ,  -   ,  60 ,  0.10 ,  36.50 ,  55.50 ,  150.00 ,
,3385,  63 ,  8 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.06 ,  14.00 ,  44.50 ,  115.00 ,
,3386,  50 ,  6 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.06 ,  14.00 ,  44.50 ,  115.00 ,
,3387,  112 ,  10 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.07 ,  14.00 ,  44.50 ,  115.00 ,
,3388,  33 ,  9 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.06 ,  14.00 ,  44.50 ,  115.00 ,
,3389,  242 ,  24 ,  0.0000 ,  0.0002 ,  0.0018 ,  25 ,  200 ,  0.06 ,  14.00 ,  44.50 ,  115.00 ,
,3390,  220 ,  24 ,  0.0001 ,  0.0024 ,  0.0188 ,  25 ,  200 ,  0.07 ,  14.00 ,  44.50 ,  115.00 ,
,3391,  923 ,  53 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,#N/A,#N/A,#N/A,#N/A,
,3392,  387 ,  38 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  14.00 ,  45.00 ,  115.00 ,
,3394,  885 ,  79 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.08 ,  14.00 ,  45.00 ,  115.00 ,
,3395,  225 ,  30 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.08 ,  14.00 ,  45.00 ,  115.00 ,
,3397,  216 ,  31 ,  0.0001 ,  0.0044 ,  0.0174 ,  50 ,  200 ,  0.04 ,  6.83 ,  70.00 ,  120.00 ,
,3398,  296 ,  33 ,  0.0001 ,  0.0044 ,  0.0174 ,  50 ,  200 ,  0.05 ,  7.80 ,  70.00 ,  120.00 ,
,3399,  652 ,  88 ,  0.0001 ,  0.0044 ,  0.0174 ,  50 ,  200 ,  0.05 ,  8.00 ,  70.00 ,  120.00 ,
,3400,  57 ,  7 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  -   ,  -   ,  -   ,  -   ,
,3401,  130 ,  9 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.06 ,  14.50 ,  45.00 ,  115.00 ,
,3402,  42 ,  7 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.07 ,  14.00 ,  45.00 ,  115.00 ,
,3403,  131 ,  23 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.06 ,  14.00 ,  45.00 ,  115.00 ,
,3404,  137 ,  14 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.07 ,  14.00 ,  45.00 ,  115.00 ,
,3405,  260 ,  28 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.06 ,  14.00 ,  45.00 ,  115.00 ,
,3406,  176 ,  25 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.07 ,  14.00 ,  45.00 ,  115.00 ,
,3431,  232 ,  31 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  -   ,  -   ,  -   ,  -   ,
,3432,  505 ,  44 ,  0.0001 ,  0.0027 ,  0.0212 ,  25 ,  200 ,  0.08 ,  15.00 ,  45.00 ,  115.00 ,
,3433,  179 ,  27 ,  0.0001 ,  0.0022 ,  0.0176 ,  25 ,  200 ,  0.08 ,  14.00 ,  45.00 ,  115.00 ,
,3838,  86 ,  12 ,  0.0012 ,  0.6028 ,  0.0121 ,  500 ,  10 ,#N/A,#N/A,#N/A,#N/A,
,3839,  8 ,  3 ,  0.0024 ,  2.0225 ,  0.0095 ,  850 ,  4 ,#N/A,#N/A,#N/A,#N/A,
